Run,Dataset,Label_Ratio,GMean,Labeling Strategy
9,Keystroke,0.1,0.649606869,Uniform
9,Keystroke,0.1,0.609237058,Non_Uniform
9,Keystroke,0.2,0.759429881,Uniform
9,Keystroke,0.2,0.789391113,Non_Uniform
9,Keystroke,0.5,0.684794435,Uniform
9,Keystroke,0.5,0.918363107,Non_Uniform
9,Keystroke,1,0.940603409,Uniform
9,Keystroke,1,0.940603409,Non_Uniform
9,NOAA,0.05,0.54276091,Uniform
9,NOAA,0.05,0.545670153,Non_Uniform
9,NOAA,0.1,0.566683737,Uniform
9,NOAA,0.1,0.584757526,Non_Uniform
9,NOAA,0.2,0.576886398,Uniform
